	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	int_term_x_neg_one	neg.log.p.adj	is.sig	int_term_abs	int.direction
551	gpdh-1	289.473705783863	1.46277648481498	0.322396813449007	21.2139645913639	2.47426447315185E-05	8.29246446901721E-05	-1.46277648481498	4.08131638063969	TRUE	1.46277648481498	negative
552	mdt-6	349.285342387304	1.46244601310731	0.245406928032172	60.3901724398	7.69911265044186E-14	1.2683399732451E-12	-1.46244601310731	11.8967643200235	TRUE	1.46244601310731	negative
553	Y57G11C.42	174.896965009343	1.46056345459722	0.564179809420246	34.651669342333	2.98872260224081E-08	1.8726297030307E-07	-1.46056345459722	6.72754809226149	TRUE	1.46056345459722	negative
554	rmh-2	189.055923867858	1.45971868997438	0.337199236568423	19.0923942266158	7.14725489103994E-05	0.000212946036097	-1.45971868997438	3.6717304397284	TRUE	1.45971868997438	negative
555	zipt-7.1	257.214462049554	1.4595027829513	0.349981292062575	49.029232215551	2.25651122583134E-11	2.5169502298127E-10	-1.4595027829513	9.59912537210814	TRUE	1.4595027829513	negative
556	C33G3.5	117.826759910896	1.45914638506281	0.545086996700367	7.15535123406067	0.027940567414718	0.04246807606484	-1.45914638506281	1.37193741344657	TRUE	1.45914638506281	negative
557	hrpf-2	735.10177585997	1.4588709541879	0.302239201336615	25.5920292248883	2.77179727495479E-06	1.16120521205852E-05	-1.4588709541879	4.93509102350935	TRUE	1.4588709541879	negative
558	htp-3	462.521776761343	1.45795235486131	0.556183093035495	25.0498570590034	3.63490155636221E-06	1.4782577237192E-05	-1.45795235486131	4.83024984318638	TRUE	1.45795235486131	negative
559	W04A8.1	142.433380933077	1.4579433913986	0.53256128675252	7.53184288811735	0.023146274408974	0.036040469153888	-1.4579433913986	1.44320956426294	TRUE	1.4579433913986	negative
560	K02C4.3	1313.33087247534	1.45683914694177	0.238869677587187	51.3101657691792	7.2133843031343E-12	8.75747382289819E-11	-1.45683914694177	10.0576211521647	TRUE	1.45683914694177	negative
561	F21A3.3	224.871755704835	1.45539019255252	0.319972677086118	58.549819674318	1.93227172780728E-13	2.9432099091551E-12	-1.45539019255252	11.5311787629983	TRUE	1.45539019255252	negative
562	perm-5	597.609161422039	1.45529416477652	0.225025635289068	45.2169967486062	1.51793757605936E-10	1.45776462461378E-09	-1.45529416477652	8.83631259294777	TRUE	1.45529416477652	negative
563	Y52B11A.8	163.810035825306	1.45459670843182	0.350591235379807	22.1919475789847	1.51732918695552E-05	5.36046220188707E-05	-1.45459670843182	4.27079776197237	TRUE	1.45459670843182	negative
564	nas-5	39.5664474640591	1.4507038650596	0.702431988730549	16.495649300044	0.000261827504704	0.000678028759461	-1.4507038650596	3.16875188458379	TRUE	1.4507038650596	negative
565	D1037.1	422.447805532834	1.45015287404841	0.310645035015271	23.3619548475013	8.45309912271473E-06	3.14290921548713E-05	-1.45015287404841	4.5026681636157	TRUE	1.45015287404841	negative
566	Y106G6H.6	324.05842710465	1.44949770219331	0.340188805495563	18.9036618473854	7.85456224967017E-05	0.000232018351916	-1.44949770219331	3.63447766243394	TRUE	1.44949770219331	negative
